video_stem,n_frames,duplications_needed,case
1897,9,0,0_duplications (super-image complète)
1898,3,6,6_duplications
1899,7,2,2_duplications
190,9,0,0_duplications (super-image complète)
1900,3,6,6_duplications
1901,6,3,3_duplications
1902,4,5,5_duplications
1903,6,3,3_duplications
1904,3,6,6_duplications
1905,5,4,4_duplications
1906,5,4,4_duplications
1907,5,4,4_duplications
1909,4,5,5_duplications
191,5,4,4_duplications
1910,8,1,1_duplication
1912,8,1,1_duplication
1913,7,2,2_duplications
1914,7,2,2_duplications
1915,3,6,6_duplications
1916,8,1,1_duplication
1917,7,2,2_duplications
1919,5,4,4_duplications
192,7,2,2_duplications
1921,3,6,6_duplications
1922,3,6,6_duplications
1923,8,1,1_duplication
1924,6,3,3_duplications
1926,7,2,2_duplications
1927,2,7,7_duplications
1928,8,1,1_duplication
1929,7,2,2_duplications
193,6,3,3_duplications
1931,7,2,2_duplications
1932,3,6,6_duplications
1933,1,8,8_duplications (9x la même photo)
1934,4,5,5_duplications
1935,2,7,7_duplications
1936,2,7,7_duplications
1937,6,3,3_duplications
1938,2,7,7_duplications
194,8,1,1_duplication
1942,1,8,8_duplications (9x la même photo)
1944,4,5,5_duplications
1945,3,6,6_duplications
1946,3,6,6_duplications
1947,3,6,6_duplications
1948,7,2,2_duplications
1949,4,5,5_duplications
195,8,1,1_duplication
1951,3,6,6_duplications
1952,3,6,6_duplications
1953,3,6,6_duplications
1954,6,3,3_duplications
1955,9,0,0_duplications (super-image complète)
1956,4,5,5_duplications
1957,7,2,2_duplications
1959,6,3,3_duplications
1960,7,2,2_duplications
1961,6,3,3_duplications
1963,5,4,4_duplications
1964,8,1,1_duplication
1965,5,4,4_duplications
1967,7,2,2_duplications
1969,9,0,0_duplications (super-image complète)
197,8,1,1_duplication
1970,4,5,5_duplications
1971,6,3,3_duplications
1972,4,5,5_duplications
1973,3,6,6_duplications
1974,9,0,0_duplications (super-image complète)
1976,7,2,2_duplications
1977,6,3,3_duplications
1978,7,2,2_duplications
1979,4,5,5_duplications
198,5,4,4_duplications
1980,2,7,7_duplications
1981,2,7,7_duplications
1982,5,4,4_duplications
1983,8,1,1_duplication
1984,6,3,3_duplications
1985,2,7,7_duplications
1986,2,7,7_duplications
199,9,0,0_duplications (super-image complète)
1990,4,5,5_duplications
1991,4,5,5_duplications
1992,7,2,2_duplications
1994,4,5,5_duplications
1995,6,3,3_duplications
1996,5,4,4_duplications
1997,4,5,5_duplications
1998,3,6,6_duplications
1999,7,2,2_duplications
200,9,0,0_duplications (super-image complète)
2000,3,6,6_duplications
2001,3,6,6_duplications
2002,4,5,5_duplications
2003,8,1,1_duplication
2004,6,3,3_duplications
2005,7,2,2_duplications
2006,6,3,3_duplications
2008,5,4,4_duplications
2009,4,5,5_duplications
201,8,1,1_duplication
2010,5,4,4_duplications
2012,5,4,4_duplications
2013,8,1,1_duplication
2017,7,2,2_duplications
2018,9,0,0_duplications (super-image complète)
2019,8,1,1_duplication
202,8,1,1_duplication
2020,6,3,3_duplications
2021,8,1,1_duplication
2022,8,1,1_duplication
2023,8,1,1_duplication
2025,6,3,3_duplications
2027,6,3,3_duplications
2029,6,3,3_duplications
203,9,0,0_duplications (super-image complète)
2030,7,2,2_duplications
2031,6,3,3_duplications
2033,7,2,2_duplications
2035,8,1,1_duplication
2036,8,1,1_duplication
2037,5,4,4_duplications
2038,7,2,2_duplications
2039,2,7,7_duplications
2040,7,2,2_duplications
2041,4,5,5_duplications
2042,5,4,4_duplications
2044,4,5,5_duplications
2046,5,4,4_duplications
2048,5,4,4_duplications
2049,8,1,1_duplication
2050,4,5,5_duplications
2053,5,4,4_duplications
2056,5,4,4_duplications
2058,4,5,5_duplications
206,6,3,3_duplications
2060,4,5,5_duplications
2061,5,4,4_duplications
2062,7,2,2_duplications
2065,5,4,4_duplications
2066,4,5,5_duplications
2067,5,4,4_duplications
2068,4,5,5_duplications
2069,3,6,6_duplications
2070,6,3,3_duplications
2071,4,5,5_duplications
2073,4,5,5_duplications
2074,2,7,7_duplications
2075,1,8,8_duplications (9x la même photo)
2076,2,7,7_duplications
2077,8,1,1_duplication
2079,7,2,2_duplications
2080,4,5,5_duplications
2081,8,1,1_duplication
2082,6,3,3_duplications
2084,9,0,0_duplications (super-image complète)
2085,6,3,3_duplications
2086,7,2,2_duplications
2088,9,0,0_duplications (super-image complète)
2089,9,0,0_duplications (super-image complète)
209,9,0,0_duplications (super-image complète)
2090,7,2,2_duplications
2091,7,2,2_duplications
2092,9,0,0_duplications (super-image complète)
2093,5,4,4_duplications
2094,4,5,5_duplications
2096,8,1,1_duplication
2099,7,2,2_duplications
210,6,3,3_duplications
2100,4,5,5_duplications
2101,6,3,3_duplications
2102,6,3,3_duplications
2105,7,2,2_duplications
2106,9,0,0_duplications (super-image complète)
2107,5,4,4_duplications
2108,7,2,2_duplications
211,9,0,0_duplications (super-image complète)
2112,8,1,1_duplication
2113,7,2,2_duplications
2114,6,3,3_duplications
2115,6,3,3_duplications
2116,7,2,2_duplications
2117,5,4,4_duplications
2118,3,6,6_duplications
2119,7,2,2_duplications
2120,6,3,3_duplications
2121,5,4,4_duplications
2122,8,1,1_duplication
2123,9,0,0_duplications (super-image complète)
2125,6,3,3_duplications
2126,5,4,4_duplications
2127,7,2,2_duplications
2129,8,1,1_duplication
213,8,1,1_duplication
2130,5,4,4_duplications
2131,5,4,4_duplications
2132,6,3,3_duplications
2134,8,1,1_duplication
2136,9,0,0_duplications (super-image complète)
2137,4,5,5_duplications
2138,7,2,2_duplications
2139,5,4,4_duplications
2140,6,3,3_duplications
2142,6,3,3_duplications
2143,5,4,4_duplications
2145,3,6,6_duplications
2147,6,3,3_duplications
2148,6,3,3_duplications
2149,3,6,6_duplications
215,9,0,0_duplications (super-image complète)
2150,1,8,8_duplications (9x la même photo)
2151,3,6,6_duplications
2152,3,6,6_duplications
2153,4,5,5_duplications
2155,3,6,6_duplications
2157,3,6,6_duplications
2158,3,6,6_duplications
216,8,1,1_duplication
2160,4,5,5_duplications
2161,3,6,6_duplications
2162,6,3,3_duplications
2163,5,4,4_duplications
2165,9,0,0_duplications (super-image complète)
2166,4,5,5_duplications
2167,7,2,2_duplications
2168,6,3,3_duplications
2169,5,4,4_duplications
217,6,3,3_duplications
2170,7,2,2_duplications
2171,8,1,1_duplication
2172,8,1,1_duplication
2175,4,5,5_duplications
2176,8,1,1_duplication
2177,6,3,3_duplications
2178,8,1,1_duplication
2179,6,3,3_duplications
218,9,0,0_duplications (super-image complète)
2181,3,6,6_duplications
2182,2,7,7_duplications
2183,5,4,4_duplications
2186,9,0,0_duplications (super-image complète)
2187,9,0,0_duplications (super-image complète)
2188,8,1,1_duplication
2189,9,0,0_duplications (super-image complète)
219,8,1,1_duplication
2190,4,5,5_duplications
2192,8,1,1_duplication
2194,7,2,2_duplications
2196,8,1,1_duplication
2198,5,4,4_duplications
2199,4,5,5_duplications
220,7,2,2_duplications
2200,4,5,5_duplications
2201,6,3,3_duplications
2202,6,3,3_duplications
2203,5,4,4_duplications
2204,8,1,1_duplication
2205,5,4,4_duplications
2206,7,2,2_duplications
2208,8,1,1_duplication
2209,4,5,5_duplications
221,9,0,0_duplications (super-image complète)
2210,6,3,3_duplications
2211,7,2,2_duplications
2212,9,0,0_duplications (super-image complète)
2213,3,6,6_duplications
2214,4,5,5_duplications
2216,8,1,1_duplication
2217,8,1,1_duplication
2218,4,5,5_duplications
222,6,3,3_duplications
2220,5,4,4_duplications
2222,9,0,0_duplications (super-image complète)
2224,7,2,2_duplications
2225,5,4,4_duplications
2228,6,3,3_duplications
223,9,0,0_duplications (super-image complète)
2231,4,5,5_duplications
2232,7,2,2_duplications
2233,8,1,1_duplication
2234,7,2,2_duplications
2236,6,3,3_duplications
2237,5,4,4_duplications
224,9,0,0_duplications (super-image complète)
2241,2,7,7_duplications
2242,5,4,4_duplications
2243,6,3,3_duplications
2244,8,1,1_duplication
2245,4,5,5_duplications
2246,4,5,5_duplications
2248,7,2,2_duplications
225,8,1,1_duplication
2250,7,2,2_duplications
2253,8,1,1_duplication
2255,9,0,0_duplications (super-image complète)
2256,9,0,0_duplications (super-image complète)
2257,5,4,4_duplications
2258,7,2,2_duplications
2259,4,5,5_duplications
2260,3,6,6_duplications
2261,5,4,4_duplications
2264,2,7,7_duplications
2266,6,3,3_duplications
2267,3,6,6_duplications
2269,3,6,6_duplications
227,9,0,0_duplications (super-image complète)
2270,1,8,8_duplications (9x la même photo)
2272,2,7,7_duplications
2273,5,4,4_duplications
2274,4,5,5_duplications
2277,3,6,6_duplications
2278,4,5,5_duplications
2280,2,7,7_duplications
2283,4,5,5_duplications
2284,5,4,4_duplications
2285,5,4,4_duplications
2286,6,3,3_duplications
2288,4,5,5_duplications
2289,3,6,6_duplications
229,8,1,1_duplication
2290,5,4,4_duplications
2293,1,8,8_duplications (9x la même photo)
2294,3,6,6_duplications
2295,3,6,6_duplications
2296,6,3,3_duplications
2297,5,4,4_duplications
2299,1,8,8_duplications (9x la même photo)
2300,3,6,6_duplications
2301,3,6,6_duplications
2303,4,5,5_duplications
2304,3,6,6_duplications
2305,1,8,8_duplications (9x la même photo)
2306,1,8,8_duplications (9x la même photo)
2307,2,7,7_duplications
2308,3,6,6_duplications
2310,6,3,3_duplications
2311,8,1,1_duplication
2312,4,5,5_duplications
2314,8,1,1_duplication
2316,3,6,6_duplications
2318,7,2,2_duplications
2319,5,4,4_duplications
232,5,4,4_duplications
2320,3,6,6_duplications
2321,6,3,3_duplications
2322,2,7,7_duplications
2323,3,6,6_duplications
2324,1,8,8_duplications (9x la même photo)
2325,1,8,8_duplications (9x la même photo)
2327,5,4,4_duplications
2329,5,4,4_duplications
233,5,4,4_duplications
2330,9,0,0_duplications (super-image complète)
2331,6,3,3_duplications
2332,9,0,0_duplications (super-image complète)
2333,6,3,3_duplications
2335,9,0,0_duplications (super-image complète)
2338,8,1,1_duplication
234,8,1,1_duplication
2340,6,3,3_duplications
2341,6,3,3_duplications
2342,6,3,3_duplications
2343,4,5,5_duplications
2344,6,3,3_duplications
2345,7,2,2_duplications
2346,7,2,2_duplications
2347,9,0,0_duplications (super-image complète)
2348,8,1,1_duplication
2349,6,3,3_duplications
235,5,4,4_duplications
2351,9,0,0_duplications (super-image complète)
2352,4,5,5_duplications
2353,3,6,6_duplications
2355,5,4,4_duplications
2357,5,4,4_duplications
2359,8,1,1_duplication
236,6,3,3_duplications
2361,6,3,3_duplications
2362,5,4,4_duplications
2364,8,1,1_duplication
2365,8,1,1_duplication
2366,8,1,1_duplication
2367,2,7,7_duplications
2369,4,5,5_duplications
237,7,2,2_duplications
2370,4,5,5_duplications
2371,6,3,3_duplications
2372,5,4,4_duplications
2374,4,5,5_duplications
2375,3,6,6_duplications
2376,6,3,3_duplications
2378,1,8,8_duplications (9x la même photo)
2379,6,3,3_duplications
2381,2,7,7_duplications
2382,4,5,5_duplications
2383,7,2,2_duplications
2384,5,4,4_duplications
2385,4,5,5_duplications
2386,4,5,5_duplications
2387,4,5,5_duplications
2388,6,3,3_duplications
2389,5,4,4_duplications
239,7,2,2_duplications
2390,3,6,6_duplications
2392,4,5,5_duplications
2393,7,2,2_duplications
2395,3,6,6_duplications
2396,5,4,4_duplications
2399,5,4,4_duplications
2400,6,3,3_duplications
2401,2,7,7_duplications
2402,6,3,3_duplications
2403,4,5,5_duplications
2404,4,5,5_duplications
2406,7,2,2_duplications
2407,4,5,5_duplications
2409,5,4,4_duplications
241,7,2,2_duplications
2411,4,5,5_duplications
2412,4,5,5_duplications
2413,6,3,3_duplications
2415,3,6,6_duplications
2416,7,2,2_duplications
2418,8,1,1_duplication
2419,3,6,6_duplications
242,7,2,2_duplications
2420,5,4,4_duplications
2422,4,5,5_duplications
2423,1,8,8_duplications (9x la même photo)
2425,3,6,6_duplications
2426,5,4,4_duplications
2428,3,6,6_duplications
2430,2,7,7_duplications
2431,6,3,3_duplications
2433,4,5,5_duplications
2436,4,5,5_duplications
2437,4,5,5_duplications
2438,5,4,4_duplications
2439,6,3,3_duplications
244,5,4,4_duplications
2440,7,2,2_duplications
2441,7,2,2_duplications
2442,2,7,7_duplications
2444,2,7,7_duplications
2445,3,6,6_duplications
2447,6,3,3_duplications
2448,4,5,5_duplications
2449,2,7,7_duplications
245,9,0,0_duplications (super-image complète)
2450,3,6,6_duplications
2451,8,1,1_duplication
2452,2,7,7_duplications
2453,4,5,5_duplications
2454,4,5,5_duplications
2455,3,6,6_duplications
2456,4,5,5_duplications
2457,5,4,4_duplications
2458,7,2,2_duplications
2459,3,6,6_duplications
246,6,3,3_duplications
2460,4,5,5_duplications
2461,8,1,1_duplication
2463,4,5,5_duplications
2464,6,3,3_duplications
2465,6,3,3_duplications
2466,4,5,5_duplications
2467,4,5,5_duplications
2468,4,5,5_duplications
2469,6,3,3_duplications
247,4,5,5_duplications
2470,7,2,2_duplications
2471,8,1,1_duplication
2473,4,5,5_duplications
2474,2,7,7_duplications
2475,3,6,6_duplications
2476,2,7,7_duplications
2477,7,2,2_duplications
2478,4,5,5_duplications
248,4,5,5_duplications
2481,4,5,5_duplications
2483,4,5,5_duplications
2484,4,5,5_duplications
2485,1,8,8_duplications (9x la même photo)
2486,3,6,6_duplications
2487,4,5,5_duplications
2488,4,5,5_duplications
249,5,4,4_duplications
2490,4,5,5_duplications
2491,4,5,5_duplications
2492,5,4,4_duplications
2493,5,4,4_duplications
2495,4,5,5_duplications
2497,5,4,4_duplications
2499,4,5,5_duplications
250,6,3,3_duplications
2500,6,3,3_duplications
25002,9,0,0_duplications (super-image complète)
25003,7,2,2_duplications
25004,6,3,3_duplications
25005,3,6,6_duplications
25006,6,3,3_duplications
25007,3,6,6_duplications
25008,4,5,5_duplications
25009,6,3,3_duplications
2501,5,4,4_duplications
25011,5,4,4_duplications
25012,5,4,4_duplications
25013,7,2,2_duplications
25014,6,3,3_duplications
25016,4,5,5_duplications
25018,8,1,1_duplication
25019,6,3,3_duplications
25021,6,3,3_duplications
25022,7,2,2_duplications
25027,6,3,3_duplications
25028,6,3,3_duplications
25029,8,1,1_duplication
2503,4,5,5_duplications
25031,4,5,5_duplications
25032,3,6,6_duplications
25037,9,0,0_duplications (super-image complète)
25038,7,2,2_duplications
2504,3,6,6_duplications
25042,4,5,5_duplications
25044,3,6,6_duplications
25045,4,5,5_duplications
25046,8,1,1_duplication
25047,3,6,6_duplications
25058,4,5,5_duplications
25059,5,4,4_duplications
25062,6,3,3_duplications
25064,1,8,8_duplications (9x la même photo)
25070,6,3,3_duplications
25071,6,3,3_duplications
25072,7,2,2_duplications
25075,5,4,4_duplications
25076,3,6,6_duplications
25077,6,3,3_duplications
25078,5,4,4_duplications
25079,8,1,1_duplication
2508,4,5,5_duplications
25082,9,0,0_duplications (super-image complète)
25083,8,1,1_duplication
25085,9,0,0_duplications (super-image complète)
25086,9,0,0_duplications (super-image complète)
25087,3,6,6_duplications
25088,6,3,3_duplications
2509,5,4,4_duplications
25091,5,4,4_duplications
25093,8,1,1_duplication
25096,3,6,6_duplications
25097,9,0,0_duplications (super-image complète)
251,9,0,0_duplications (super-image complète)
25109,8,1,1_duplication
2511,3,6,6_duplications
25110,4,5,5_duplications
25111,5,4,4_duplications
25114,3,6,6_duplications
25116,7,2,2_duplications
25118,6,3,3_duplications
25120,9,0,0_duplications (super-image complète)
25122,4,5,5_duplications
25125,9,0,0_duplications (super-image complète)
25126,5,4,4_duplications
2513,3,6,6_duplications
25131,4,5,5_duplications
25134,3,6,6_duplications
25135,7,2,2_duplications
25136,4,5,5_duplications
25137,5,4,4_duplications
25138,1,8,8_duplications (9x la même photo)
25139,7,2,2_duplications
2514,1,8,8_duplications (9x la même photo)
25140,8,1,1_duplication
25143,6,3,3_duplications
25144,5,4,4_duplications
25148,3,6,6_duplications
25149,7,2,2_duplications
2515,3,6,6_duplications
25150,5,4,4_duplications
25151,5,4,4_duplications
25152,9,0,0_duplications (super-image complète)
25153,9,0,0_duplications (super-image complète)
25157,6,3,3_duplications
2516,2,7,7_duplications
25161,6,3,3_duplications
25162,8,1,1_duplication
25165,5,4,4_duplications
25166,5,4,4_duplications
25167,6,3,3_duplications
25168,7,2,2_duplications
2517,3,6,6_duplications
25176,5,4,4_duplications
2518,3,6,6_duplications
25187,9,0,0_duplications (super-image complète)
25192,8,1,1_duplication
25193,8,1,1_duplication
25194,9,0,0_duplications (super-image complète)
25195,8,1,1_duplication
25196,9,0,0_duplications (super-image complète)
25197,9,0,0_duplications (super-image complète)
25198,3,6,6_duplications
252,9,0,0_duplications (super-image complète)
25205,7,2,2_duplications
2521,3,6,6_duplications
25212,7,2,2_duplications
2522,2,7,7_duplications
25232,1,8,8_duplications (9x la même photo)
25235,1,8,8_duplications (9x la même photo)
25236,7,2,2_duplications
25237,6,3,3_duplications
25238,5,4,4_duplications
2524,5,4,4_duplications
25241,7,2,2_duplications
25242,1,8,8_duplications (9x la même photo)
25243,1,8,8_duplications (9x la même photo)
25244,9,0,0_duplications (super-image complète)
25245,7,2,2_duplications
25246,9,0,0_duplications (super-image complète)
2525,3,6,6_duplications
25250,4,5,5_duplications
25251,6,3,3_duplications
25252,2,7,7_duplications
25254,5,4,4_duplications
25258,4,5,5_duplications
25259,6,3,3_duplications
2526,6,3,3_duplications
25260,4,5,5_duplications
25264,4,5,5_duplications
25265,4,5,5_duplications
25266,6,3,3_duplications
25269,6,3,3_duplications
2527,3,6,6_duplications
25270,5,4,4_duplications
25273,8,1,1_duplication
25274,8,1,1_duplication
25275,5,4,4_duplications
2528,3,6,6_duplications
25280,5,4,4_duplications
25281,5,4,4_duplications
25286,7,2,2_duplications
25290,1,8,8_duplications (9x la même photo)
25292,7,2,2_duplications
25293,3,6,6_duplications
25294,3,6,6_duplications
25296,9,0,0_duplications (super-image complète)
25297,9,0,0_duplications (super-image complète)
25298,9,0,0_duplications (super-image complète)
25299,9,0,0_duplications (super-image complète)
253,9,0,0_duplications (super-image complète)
25300,8,1,1_duplication
25301,9,0,0_duplications (super-image complète)
25303,8,1,1_duplication
25306,8,1,1_duplication
25307,8,1,1_duplication
25308,9,0,0_duplications (super-image complète)
25309,9,0,0_duplications (super-image complète)
25310,8,1,1_duplication
25311,9,0,0_duplications (super-image complète)
25312,9,0,0_duplications (super-image complète)
25313,9,0,0_duplications (super-image complète)
25314,7,2,2_duplications
25315,5,4,4_duplications
25316,6,3,3_duplications
25317,6,3,3_duplications
25318,8,1,1_duplication
25319,6,3,3_duplications
25320,9,0,0_duplications (super-image complète)
25323,7,2,2_duplications
25324,9,0,0_duplications (super-image complète)
25325,9,0,0_duplications (super-image complète)
25327,6,3,3_duplications
25328,7,2,2_duplications
25329,7,2,2_duplications
2533,3,6,6_duplications
25330,7,2,2_duplications
25331,8,1,1_duplication
25332,9,0,0_duplications (super-image complète)
25333,7,2,2_duplications
25334,6,3,3_duplications
25335,8,1,1_duplication
25336,7,2,2_duplications
25337,7,2,2_duplications
25338,7,2,2_duplications
2534,4,5,5_duplications
25340,9,0,0_duplications (super-image complète)
25341,9,0,0_duplications (super-image complète)
25342,6,3,3_duplications
25343,8,1,1_duplication
25345,3,6,6_duplications
25348,9,0,0_duplications (super-image complète)
25349,9,0,0_duplications (super-image complète)
2535,2,7,7_duplications
25352,4,5,5_duplications
25355,9,0,0_duplications (super-image complète)
25356,9,0,0_duplications (super-image complète)
25357,9,0,0_duplications (super-image complète)
2536,3,6,6_duplications
25360,7,2,2_duplications
25361,7,2,2_duplications
25363,7,2,2_duplications
25364,8,1,1_duplication
25366,7,2,2_duplications
25367,8,1,1_duplication
25368,9,0,0_duplications (super-image complète)
25369,9,0,0_duplications (super-image complète)
2537,1,8,8_duplications (9x la même photo)
25370,6,3,3_duplications
25372,7,2,2_duplications
25374,8,1,1_duplication
25375,5,4,4_duplications
25376,9,0,0_duplications (super-image complète)
25377,9,0,0_duplications (super-image complète)
25379,8,1,1_duplication
2538,4,5,5_duplications
25380,9,0,0_duplications (super-image complète)
25382,8,1,1_duplication
25383,9,0,0_duplications (super-image complète)
25388,9,0,0_duplications (super-image complète)
25389,7,2,2_duplications
25392,7,2,2_duplications
25393,6,3,3_duplications
25394,7,2,2_duplications
25397,8,1,1_duplication
25398,9,0,0_duplications (super-image complète)
25399,9,0,0_duplications (super-image complète)
254,5,4,4_duplications
2540,2,7,7_duplications
25400,9,0,0_duplications (super-image complète)
25403,6,3,3_duplications
25404,7,2,2_duplications
25406,9,0,0_duplications (super-image complète)
25407,8,1,1_duplication
25409,8,1,1_duplication
2541,4,5,5_duplications
25410,7,2,2_duplications
25412,7,2,2_duplications
25414,4,5,5_duplications
2542,5,4,4_duplications
25421,5,4,4_duplications
25422,6,3,3_duplications
25435,8,1,1_duplication
25436,7,2,2_duplications
25437,6,3,3_duplications
25439,9,0,0_duplications (super-image complète)
2544,8,1,1_duplication
25442,4,5,5_duplications
25444,1,8,8_duplications (9x la même photo)
25448,7,2,2_duplications
25449,5,4,4_duplications
2545,8,1,1_duplication
25451,5,4,4_duplications
25453,3,6,6_duplications
25454,6,3,3_duplications
25457,7,2,2_duplications
2546,4,5,5_duplications
25460,1,8,8_duplications (9x la même photo)
25461,6,3,3_duplications
25462,8,1,1_duplication
25463,2,7,7_duplications
25468,1,8,8_duplications (9x la même photo)
2547,7,2,2_duplications
25470,2,7,7_duplications
25472,5,4,4_duplications
25475,4,5,5_duplications
25476,1,8,8_duplications (9x la même photo)
25477,3,6,6_duplications
2548,8,1,1_duplication
25484,8,1,1_duplication
25486,9,0,0_duplications (super-image complète)
25488,8,1,1_duplication
255,6,3,3_duplications
2550,4,5,5_duplications
25500,8,1,1_duplication
25504,8,1,1_duplication
25505,2,7,7_duplications
25506,3,6,6_duplications
25509,4,5,5_duplications
2551,8,1,1_duplication
25513,8,1,1_duplication
25518,9,0,0_duplications (super-image complète)
25520,9,0,0_duplications (super-image complète)
25524,9,0,0_duplications (super-image complète)
2553,8,1,1_duplication
25532,9,0,0_duplications (super-image complète)
2554,7,2,2_duplications
25551,3,6,6_duplications
25552,6,3,3_duplications
25556,4,5,5_duplications
25562,4,5,5_duplications
25564,8,1,1_duplication
25565,7,2,2_duplications
25566,6,3,3_duplications
25569,5,4,4_duplications
2557,7,2,2_duplications
25570,4,5,5_duplications
25575,1,8,8_duplications (9x la même photo)
25576,4,5,5_duplications
2558,3,6,6_duplications
2559,7,2,2_duplications
25594,6,3,3_duplications
256,8,1,1_duplication
2560,7,2,2_duplications
2561,6,3,3_duplications
25610,7,2,2_duplications
25612,6,3,3_duplications
2562,3,6,6_duplications
25621,7,2,2_duplications
25622,5,4,4_duplications
25623,5,4,4_duplications
25627,4,5,5_duplications
2563,9,0,0_duplications (super-image complète)
2564,6,3,3_duplications
2565,6,3,3_duplications
2567,5,4,4_duplications
2569,9,0,0_duplications (super-image complète)
2570,9,0,0_duplications (super-image complète)
2571,4,5,5_duplications
2572,6,3,3_duplications
2575,9,0,0_duplications (super-image complète)
2576,6,3,3_duplications
2577,4,5,5_duplications
2578,8,1,1_duplication
258,7,2,2_duplications
2580,8,1,1_duplication
2581,9,0,0_duplications (super-image complète)
2582,7,2,2_duplications
2583,4,5,5_duplications
2586,7,2,2_duplications
2587,7,2,2_duplications
2588,9,0,0_duplications (super-image complète)
2589,7,2,2_duplications
259,8,1,1_duplication
2591,9,0,0_duplications (super-image complète)
2592,7,2,2_duplications
2593,5,4,4_duplications
2594,8,1,1_duplication
2595,7,2,2_duplications
