video_stem,superimage_path,labels_str,fold
25187,data/super_images/25187_3x3.jpg,1 6,0
25192,data/super_images/25192_3x3.jpg,5,1
25195,data/super_images/25195_3x3.jpg,5,1
25196,data/super_images/25196_3x3.jpg,5,0
252,data/super_images/252_3x3.jpg,0,1
25273,data/super_images/25273_3x3.jpg,10 12,3
25274,data/super_images/25274_3x3.jpg,10 12,1
25296,data/super_images/25296_3x3.jpg,7,4
25297,data/super_images/25297_3x3.jpg,12,1
25300,data/super_images/25300_3x3.jpg,12,0
25462,data/super_images/25462_3x3.jpg,6 14,0
2548,data/super_images/2548_3x3.jpg,0,4
25484,data/super_images/25484_3x3.jpg,3 6,2
25486,data/super_images/25486_3x3.jpg,6,2
25488,data/super_images/25488_3x3.jpg,6,1
25500,data/super_images/25500_3x3.jpg,4,2
2551,data/super_images/2551_3x3.jpg,0,3
25513,data/super_images/25513_3x3.jpg,4 7,2
25518,data/super_images/25518_3x3.jpg,12,1
25520,data/super_images/25520_3x3.jpg,1 12,4
25524,data/super_images/25524_3x3.jpg,7,3
25532,data/super_images/25532_3x3.jpg,7,0
25564,data/super_images/25564_3x3.jpg,5 7 15,0
256,data/super_images/256_3x3.jpg,0,3
2563,data/super_images/2563_3x3.jpg,0,3
2570,data/super_images/2570_3x3.jpg,0,1
25355,data/super_images/25355_3x3.jpg,6,3
25356,data/super_images/25356_3x3.jpg,6,0
25357,data/super_images/25357_3x3.jpg,6,4
25368,data/super_images/25368_3x3.jpg,1 2,0
25369,data/super_images/25369_3x3.jpg,7,1
25380,data/super_images/25380_3x3.jpg,1 6,1
25382,data/super_images/25382_3x3.jpg,12,4
25383,data/super_images/25383_3x3.jpg,6,2
25388,data/super_images/25388_3x3.jpg,1 7,1
25397,data/super_images/25397_3x3.jpg,7,3
25398,data/super_images/25398_3x3.jpg,6,1
25406,data/super_images/25406_3x3.jpg,4 7,1
25407,data/super_images/25407_3x3.jpg,7 14,4
25435,data/super_images/25435_3x3.jpg,9,1
2544,data/super_images/2544_3x3.jpg,0,1
2545,data/super_images/2545_3x3.jpg,0,1
25303,data/super_images/25303_3x3.jpg,6,0
25307,data/super_images/25307_3x3.jpg,2 7,1
25309,data/super_images/25309_3x3.jpg,12,0
25311,data/super_images/25311_3x3.jpg,7,1
25312,data/super_images/25312_3x3.jpg,7 15,4
25313,data/super_images/25313_3x3.jpg,6 7 15,1
25318,data/super_images/25318_3x3.jpg,7 14,2
25320,data/super_images/25320_3x3.jpg,14,3
25325,data/super_images/25325_3x3.jpg,12,4
25331,data/super_images/25331_3x3.jpg,5,3
25332,data/super_images/25332_3x3.jpg,1 6,0
25335,data/super_images/25335_3x3.jpg,6,4
25340,data/super_images/25340_3x3.jpg,2,2
25341,data/super_images/25341_3x3.jpg,12,3
25343,data/super_images/25343_3x3.jpg,1 11,2
25349,data/super_images/25349_3x3.jpg,6,1
2575,data/super_images/2575_3x3.jpg,0,0
2578,data/super_images/2578_3x3.jpg,0,3
2580,data/super_images/2580_3x3.jpg,0,1
2581,data/super_images/2581_3x3.jpg,0,3
2588,data/super_images/2588_3x3.jpg,0,0
2591,data/super_images/2591_3x3.jpg,0,3
2594,data/super_images/2594_3x3.jpg,0,3
2597,data/super_images/2597_3x3.jpg,0,4
2599,data/super_images/2599_3x3.jpg,0,0
2606,data/super_images/2606_3x3.jpg,0,3
26079_1,data/super_images/26079_1_3x3.jpg,6,4
26082_1,data/super_images/26082_1_3x3.jpg,2 3 8,2
26085_4,data/super_images/26085_4_3x3.jpg,7,4
26088_3,data/super_images/26088_3_3x3.jpg,1,0
26090_4,data/super_images/26090_4_3x3.jpg,1 7 15,1
26095_3,data/super_images/26095_3_3x3.jpg,11,2
26239_2,data/super_images/26239_2_3x3.jpg,7,2
26249_5,data/super_images/26249_5_3x3.jpg,6,1
2625,data/super_images/2625_3x3.jpg,0,2
26254_1,data/super_images/26254_1_3x3.jpg,8 15,0
26256_2,data/super_images/26256_2_3x3.jpg,3,3
26273_3,data/super_images/26273_3_3x3.jpg,7,3
2628,data/super_images/2628_3x3.jpg,0,4
26284_1,data/super_images/26284_1_3x3.jpg,3 15,1
26286,data/super_images/26286_3x3.jpg,15,0
26289,data/super_images/26289_3x3.jpg,1 2,0
26297_1,data/super_images/26297_1_3x3.jpg,15,4
26300_2,data/super_images/26300_2_3x3.jpg,1,1
26306,data/super_images/26306_3x3.jpg,1 2,4
26307,data/super_images/26307_3x3.jpg,2 3,0
26326_8,data/super_images/26326_8_3x3.jpg,1,2
2634,data/super_images/2634_3x3.jpg,0,1
26455_2,data/super_images/26455_2_3x3.jpg,6 15,2
26455_3,data/super_images/26455_3_3x3.jpg,5,4
26490_1,data/super_images/26490_1_3x3.jpg,15,2
26490_2,data/super_images/26490_2_3x3.jpg,1,1
26491_1,data/super_images/26491_1_3x3.jpg,8 15,2
26494_4,data/super_images/26494_4_3x3.jpg,6,4
26495_1,data/super_images/26495_1_3x3.jpg,8 15,2
26496_1,data/super_images/26496_1_3x3.jpg,3 6 8 15,3
26497_1,data/super_images/26497_1_3x3.jpg,2,4
265,data/super_images/265_3x3.jpg,0,2
2650,data/super_images/2650_3x3.jpg,0,1
26512_3,data/super_images/26512_3_3x3.jpg,6 7,2
26513_5,data/super_images/26513_5_3x3.jpg,7,3
26515_3,data/super_images/26515_3_3x3.jpg,2 7,3
26517_3,data/super_images/26517_3_3x3.jpg,7,1
26518_2,data/super_images/26518_2_3x3.jpg,4,4
26096_5,data/super_images/26096_5_3x3.jpg,7,0
2610,data/super_images/2610_3x3.jpg,0,0
26112_1,data/super_images/26112_1_3x3.jpg,7,2
26112_2,data/super_images/26112_2_3x3.jpg,6 7,4
26112_3,data/super_images/26112_3_3x3.jpg,1,3
26115_3,data/super_images/26115_3_3x3.jpg,2,0
26117_3,data/super_images/26117_3_3x3.jpg,7,2
26118_2,data/super_images/26118_2_3x3.jpg,7,0
26118_3,data/super_images/26118_3_3x3.jpg,3,2
26119_5,data/super_images/26119_5_3x3.jpg,12,4
26120_1,data/super_images/26120_1_3x3.jpg,4,1
26123_2,data/super_images/26123_2_3x3.jpg,1 4,0
26125_6,data/super_images/26125_6_3x3.jpg,15,1
2613,data/super_images/2613_3x3.jpg,0,0
26132_3,data/super_images/26132_3_3x3.jpg,1 2 6,1
26133_3,data/super_images/26133_3_3x3.jpg,2 8,3
2616,data/super_images/2616_3x3.jpg,0,2
26193_1,data/super_images/26193_1_3x3.jpg,7,3
26193_2,data/super_images/26193_2_3x3.jpg,1,1
26194_1,data/super_images/26194_1_3x3.jpg,1 2,1
26194_2,data/super_images/26194_2_3x3.jpg,1,1
26197_1,data/super_images/26197_1_3x3.jpg,9 15,1
26199_1,data/super_images/26199_1_3x3.jpg,4 9,0
26210,data/super_images/26210_3x3.jpg,8,1
26212_2,data/super_images/26212_2_3x3.jpg,1 2,0
26216_4,data/super_images/26216_4_3x3.jpg,1,4
2622,data/super_images/2622_3x3.jpg,0,2
26221_1,data/super_images/26221_1_3x3.jpg,1,0
26223_2,data/super_images/26223_2_3x3.jpg,8 12,4
26225_4,data/super_images/26225_4_3x3.jpg,14 16,0
26225_5,data/super_images/26225_5_3x3.jpg,9,1
26232_1,data/super_images/26232_1_3x3.jpg,6,0
26723,data/super_images/26723_3x3.jpg,1 6 12,4
26738,data/super_images/26738_3x3.jpg,9,4
26754,data/super_images/26754_3x3.jpg,1 12,2
26759,data/super_images/26759_3x3.jpg,9,0
26767,data/super_images/26767_3x3.jpg,8,1
268,data/super_images/268_3x3.jpg,0,4
2680,data/super_images/2680_3x3.jpg,0,0
26800,data/super_images/26800_3x3.jpg,14 15 16,2
26809,data/super_images/26809_3x3.jpg,7 14,0
26812,data/super_images/26812_3x3.jpg,7 14 16,1
26818,data/super_images/26818_3x3.jpg,12,4
26821,data/super_images/26821_3x3.jpg,14,1
26822,data/super_images/26822_3x3.jpg,9,4
26833,data/super_images/26833_3x3.jpg,12,0
26835,data/super_images/26835_3x3.jpg,3 8,1
26841,data/super_images/26841_3x3.jpg,12,2
26358_7,data/super_images/26358_7_3x3.jpg,6,0
2636,data/super_images/2636_3x3.jpg,0,4
26367_2,data/super_images/26367_2_3x3.jpg,7,1
2638,data/super_images/2638_3x3.jpg,0,2
26380_3,data/super_images/26380_3_3x3.jpg,2 6,1
26383_2,data/super_images/26383_2_3x3.jpg,3 6 7 8,0
2639,data/super_images/2639_3x3.jpg,0,0
26393_2,data/super_images/26393_2_3x3.jpg,6,0
26399_7,data/super_images/26399_7_3x3.jpg,7,2
26400_1,data/super_images/26400_1_3x3.jpg,2 7,2
26421_4,data/super_images/26421_4_3x3.jpg,3 6,3
26427_1,data/super_images/26427_1_3x3.jpg,6,4
26445_3,data/super_images/26445_3_3x3.jpg,1 6,1
26445_4,data/super_images/26445_4_3x3.jpg,15,3
2645,data/super_images/2645_3x3.jpg,0,1
26453_4,data/super_images/26453_4_3x3.jpg,6,1
26589_3,data/super_images/26589_3_3x3.jpg,7,1
26590_2,data/super_images/26590_2_3x3.jpg,7 16,1
26611_3,data/super_images/26611_3_3x3.jpg,16,3
26617_3,data/super_images/26617_3_3x3.jpg,1 2 7,2
26633_3,data/super_images/26633_3_3x3.jpg,6,4
26638_3,data/super_images/26638_3_3x3.jpg,2 5,1
26640_2,data/super_images/26640_2_3x3.jpg,1 3 7,2
26640_3,data/super_images/26640_3_3x3.jpg,1 7,2
26668_6,data/super_images/26668_6_3x3.jpg,6,0
26671_3,data/super_images/26671_3_3x3.jpg,15,3
26671_4,data/super_images/26671_4_3x3.jpg,15,4
26699,data/super_images/26699_3x3.jpg,2 16,0
267,data/super_images/267_3x3.jpg,0,1
26703,data/super_images/26703_3x3.jpg,8 14,4
26711,data/super_images/26711_3x3.jpg,14,3
26712,data/super_images/26712_3x3.jpg,1 7 14,0
26844,data/super_images/26844_3x3.jpg,12,0
26846,data/super_images/26846_3x3.jpg,12,4
26854,data/super_images/26854_3x3.jpg,12,3
26867,data/super_images/26867_3x3.jpg,14,3
26868,data/super_images/26868_3x3.jpg,6,0
26869,data/super_images/26869_3x3.jpg,12 14,4
26881,data/super_images/26881_3x3.jpg,12,1
26908,data/super_images/26908_3x3.jpg,4 9,2
26910,data/super_images/26910_3x3.jpg,5 6,4
26915,data/super_images/26915_3x3.jpg,7 14,0
26926,data/super_images/26926_3x3.jpg,6 8 10,0
26927,data/super_images/26927_3x3.jpg,2 10,2
26928,data/super_images/26928_3x3.jpg,1 4,3
26930,data/super_images/26930_3x3.jpg,4,3
26931,data/super_images/26931_3x3.jpg,1 4,1
26934,data/super_images/26934_3x3.jpg,4,0
26518_4,data/super_images/26518_4_3x3.jpg,2 4 7 14,2
26518_6,data/super_images/26518_6_3x3.jpg,2 6 7,0
26519_2,data/super_images/26519_2_3x3.jpg,7,4
26521_2,data/super_images/26521_2_3x3.jpg,4,4
26523_3,data/super_images/26523_3_3x3.jpg,7,0
26524_5,data/super_images/26524_5_3x3.jpg,7,4
26525_4,data/super_images/26525_4_3x3.jpg,7,0
26527_5,data/super_images/26527_5_3x3.jpg,2,2
26528_1,data/super_images/26528_1_3x3.jpg,7,0
26529_1,data/super_images/26529_1_3x3.jpg,7,3
26534_3,data/super_images/26534_3_3x3.jpg,7,3
26544_5,data/super_images/26544_5_3x3.jpg,2,1
26551_2,data/super_images/26551_2_3x3.jpg,4,2
26585_3,data/super_images/26585_3_3x3.jpg,7,0
26587_7,data/super_images/26587_7_3x3.jpg,9,0
26587_8,data/super_images/26587_8_3x3.jpg,9,2
26936,data/super_images/26936_3x3.jpg,3 7,2
26955,data/super_images/26955_3x3.jpg,1 4,0
26965,data/super_images/26965_3x3.jpg,7,0
26966,data/super_images/26966_3x3.jpg,1 2 8 12,2
26967,data/super_images/26967_3x3.jpg,2 3 7,2
26969,data/super_images/26969_3x3.jpg,2 4,2
26974,data/super_images/26974_3x3.jpg,16,0
26980,data/super_images/26980_3x3.jpg,2 6 7,1
27000,data/super_images/27000_3x3.jpg,7 9,3
27005,data/super_images/27005_3x3.jpg,1 6,3
27006,data/super_images/27006_3x3.jpg,7,2
27011,data/super_images/27011_3x3.jpg,1 7,2
27017,data/super_images/27017_3x3.jpg,1 7,2
27024,data/super_images/27024_3x3.jpg,6 7,0
27032,data/super_images/27032_3x3.jpg,7,0
27034,data/super_images/27034_3x3.jpg,3 7,4
27263,data/super_images/27263_3x3.jpg,4,3
27265,data/super_images/27265_3x3.jpg,4,1
27266,data/super_images/27266_3x3.jpg,4,1
27268,data/super_images/27268_3x3.jpg,1 4,2
27270,data/super_images/27270_3x3.jpg,4,1
27274,data/super_images/27274_3x3.jpg,4,0
27275,data/super_images/27275_3x3.jpg,4,2
27280,data/super_images/27280_3x3.jpg,6,2
27300,data/super_images/27300_3x3.jpg,4,2
27304,data/super_images/27304_3x3.jpg,4 9,4
27311,data/super_images/27311_3x3.jpg,4,3
27314,data/super_images/27314_3x3.jpg,6,2
27317,data/super_images/27317_3x3.jpg,4,1
27322,data/super_images/27322_3x3.jpg,2 9 10,1
27327,data/super_images/27327_3x3.jpg,4,1
27332,data/super_images/27332_3x3.jpg,4 9,2
27038,data/super_images/27038_3x3.jpg,7,2
27056,data/super_images/27056_3x3.jpg,7,2
27057,data/super_images/27057_3x3.jpg,1 7 15,0
27070,data/super_images/27070_3x3.jpg,1 7,3
27076,data/super_images/27076_3x3.jpg,7 9,3
27079,data/super_images/27079_3x3.jpg,7 8,0
27081,data/super_images/27081_3x3.jpg,4 7 9,0
27083,data/super_images/27083_3x3.jpg,4 7,1
27087,data/super_images/27087_3x3.jpg,4 7,3
27096,data/super_images/27096_3x3.jpg,4 7 9,2
271,data/super_images/271_3x3.jpg,0,4
27100,data/super_images/27100_3x3.jpg,4 9,1
27103,data/super_images/27103_3x3.jpg,4 9,1
27146,data/super_images/27146_3x3.jpg,2 9,4
27150,data/super_images/27150_3x3.jpg,4 5,3
27157,data/super_images/27157_3x3.jpg,1 6,0
27361,data/super_images/27361_3x3.jpg,7 15,1
27376,data/super_images/27376_3x3.jpg,1 2 7,2
27377,data/super_images/27377_3x3.jpg,7,3
27384,data/super_images/27384_3x3.jpg,1 11,0
2739,data/super_images/2739_3x3.jpg,0,4
27392,data/super_images/27392_3x3.jpg,15 16,3
27395,data/super_images/27395_3x3.jpg,8,4
27401,data/super_images/27401_3x3.jpg,7 14,3
27402,data/super_images/27402_3x3.jpg,3 7,1
27415,data/super_images/27415_3x3.jpg,1 6,3
27425,data/super_images/27425_3x3.jpg,1 7,3
27437,data/super_images/27437_3x3.jpg,2 4 9,3
27448,data/super_images/27448_3x3.jpg,2 10,4
27460,data/super_images/27460_3x3.jpg,4,4
27461,data/super_images/27461_3x3.jpg,4,3
27473,data/super_images/27473_3x3.jpg,3 4,1
27159,data/super_images/27159_3x3.jpg,1 6,1
27177,data/super_images/27177_3x3.jpg,9,1
27194,data/super_images/27194_3x3.jpg,4 7,2
27197,data/super_images/27197_3x3.jpg,7 10,1
27213,data/super_images/27213_3x3.jpg,3 4,0
27219,data/super_images/27219_3x3.jpg,4,2
27220,data/super_images/27220_3x3.jpg,4,0
27229,data/super_images/27229_3x3.jpg,1 4 7,2
27233,data/super_images/27233_3x3.jpg,6 7,1
27246,data/super_images/27246_3x3.jpg,4 9,4
27248,data/super_images/27248_3x3.jpg,1 16,2
27254,data/super_images/27254_3x3.jpg,4,3
27255,data/super_images/27255_3x3.jpg,4,0
27257,data/super_images/27257_3x3.jpg,4,4
27260,data/super_images/27260_3x3.jpg,4,1
27262,data/super_images/27262_3x3.jpg,1 4,1
27809,data/super_images/27809_3x3.jpg,3,4
27820,data/super_images/27820_3x3.jpg,3 10,0
27823,data/super_images/27823_3x3.jpg,12,1
27825,data/super_images/27825_3x3.jpg,5,1
27828,data/super_images/27828_3x3.jpg,5,2
27830,data/super_images/27830_3x3.jpg,5,2
27832,data/super_images/27832_3x3.jpg,5,0
27833,data/super_images/27833_3x3.jpg,5,2
27837,data/super_images/27837_3x3.jpg,12,4
27841,data/super_images/27841_3x3.jpg,5,3
27865,data/super_images/27865_3x3.jpg,4 6,0
279,data/super_images/279_3x3.jpg,0,4
281,data/super_images/281_3x3.jpg,0,2
286,data/super_images/286_3x3.jpg,0,2
291,data/super_images/291_3x3.jpg,0,3
294,data/super_images/294_3x3.jpg,0,3
27496,data/super_images/27496_3x3.jpg,1 6,0
27506,data/super_images/27506_3x3.jpg,15,4
27507,data/super_images/27507_3x3.jpg,15,4
27508,data/super_images/27508_3x3.jpg,6,2
27510,data/super_images/27510_3x3.jpg,12,2
27512,data/super_images/27512_3x3.jpg,2 13,0
27513,data/super_images/27513_3x3.jpg,14,2
27514,data/super_images/27514_3x3.jpg,15,1
27520,data/super_images/27520_3x3.jpg,2 9 13,1
27521,data/super_images/27521_3x3.jpg,3 10,0
27523,data/super_images/27523_3x3.jpg,1 4,1
27526,data/super_images/27526_3x3.jpg,5,4
27528,data/super_images/27528_3x3.jpg,5,0
27529,data/super_images/27529_3x3.jpg,2 5,1
27531,data/super_images/27531_3x3.jpg,5,0
27534,data/super_images/27534_3x3.jpg,5,1
27535,data/super_images/27535_3x3.jpg,5,2
27537,data/super_images/27537_3x3.jpg,13 14,0
27590,data/super_images/27590_3x3.jpg,11,3
27614,data/super_images/27614_3x3.jpg,11,4
27615,data/super_images/27615_3x3.jpg,2 13 14,0
27619,data/super_images/27619_3x3.jpg,11,3
277,data/super_images/277_3x3.jpg,0,3
27704,data/super_images/27704_3x3.jpg,5 6,3
27728_2,data/super_images/27728_2_3x3.jpg,6,0
2776,data/super_images/2776_3x3.jpg,0,0
27771,data/super_images/27771_3x3.jpg,8,2
27790,data/super_images/27790_3x3.jpg,2 10,4
27791,data/super_images/27791_3x3.jpg,10,3
27792,data/super_images/27792_3x3.jpg,6,3
27793,data/super_images/27793_3x3.jpg,16,0
27795,data/super_images/27795_3x3.jpg,7 10,0
296,data/super_images/296_3x3.jpg,0,4
297,data/super_images/297_3x3.jpg,0,4
299,data/super_images/299_3x3.jpg,0,2
302,data/super_images/302_3x3.jpg,0,1
303,data/super_images/303_3x3.jpg,0,0
3033,data/super_images/3033_3x3.jpg,0,4
3035,data/super_images/3035_3x3.jpg,0,0
3036,data/super_images/3036_3x3.jpg,0,4
3038,data/super_images/3038_3x3.jpg,0,4
304,data/super_images/304_3x3.jpg,0,2
3044,data/super_images/3044_3x3.jpg,0,3
3048,data/super_images/3048_3x3.jpg,0,1
3050,data/super_images/3050_3x3.jpg,0,3
3052,data/super_images/3052_3x3.jpg,0,0
3054,data/super_images/3054_3x3.jpg,0,0
3057,data/super_images/3057_3x3.jpg,0,4
306,data/super_images/306_3x3.jpg,0,4
3060,data/super_images/3060_3x3.jpg,0,1
3066,data/super_images/3066_3x3.jpg,0,3
3070,data/super_images/3070_3x3.jpg,0,2
3071,data/super_images/3071_3x3.jpg,0,0
3075,data/super_images/3075_3x3.jpg,0,4
3087,data/super_images/3087_3x3.jpg,0,4
3091,data/super_images/3091_3x3.jpg,0,0
3097,data/super_images/3097_3x3.jpg,0,2
3098,data/super_images/3098_3x3.jpg,0,1
3099,data/super_images/3099_3x3.jpg,0,2
3104,data/super_images/3104_3x3.jpg,0,2
3109,data/super_images/3109_3x3.jpg,0,0
3118,data/super_images/3118_3x3.jpg,0,2
3122,data/super_images/3122_3x3.jpg,0,3
3125,data/super_images/3125_3x3.jpg,0,3
3130,data/super_images/3130_3x3.jpg,0,2
3132,data/super_images/3132_3x3.jpg,0,4
3138,data/super_images/3138_3x3.jpg,0,3
3141,data/super_images/3141_3x3.jpg,0,0
315,data/super_images/315_3x3.jpg,0,4
317,data/super_images/317_3x3.jpg,0,3
3186,data/super_images/3186_3x3.jpg,0,1
3201,data/super_images/3201_3x3.jpg,0,0
3202,data/super_images/3202_3x3.jpg,0,1
3203,data/super_images/3203_3x3.jpg,0,0
3208,data/super_images/3208_3x3.jpg,0,3
3211,data/super_images/3211_3x3.jpg,0,1
3218,data/super_images/3218_3x3.jpg,0,0
3224,data/super_images/3224_3x3.jpg,0,1
3232,data/super_images/3232_3x3.jpg,0,4
3233,data/super_images/3233_3x3.jpg,0,2
3469,data/super_images/3469_3x3.jpg,0,3
348,data/super_images/348_3x3.jpg,0,2
3480,data/super_images/3480_3x3.jpg,0,2
3487,data/super_images/3487_3x3.jpg,0,1
349,data/super_images/349_3x3.jpg,0,4
3495,data/super_images/3495_3x3.jpg,0,0
350,data/super_images/350_3x3.jpg,0,0
352,data/super_images/352_3x3.jpg,0,4
353,data/super_images/353_3x3.jpg,0,3
356,data/super_images/356_3x3.jpg,0,4
358,data/super_images/358_3x3.jpg,0,0
3591,data/super_images/3591_3x3.jpg,0,1
3593,data/super_images/3593_3x3.jpg,0,4
360,data/super_images/360_3x3.jpg,0,4
3600,data/super_images/3600_3x3.jpg,0,2
3609,data/super_images/3609_3x3.jpg,0,1
3614,data/super_images/3614_3x3.jpg,0,3
3616,data/super_images/3616_3x3.jpg,0,4
3618,data/super_images/3618_3x3.jpg,0,2
3626,data/super_images/3626_3x3.jpg,0,3
3629,data/super_images/3629_3x3.jpg,0,4
3651,data/super_images/3651_3x3.jpg,0,4
3654,data/super_images/3654_3x3.jpg,0,1
366,data/super_images/366_3x3.jpg,0,4
3672,data/super_images/3672_3x3.jpg,0,1
3677,data/super_images/3677_3x3.jpg,0,0
3679,data/super_images/3679_3x3.jpg,0,1
3684,data/super_images/3684_3x3.jpg,0,2
373,data/super_images/373_3x3.jpg,0,0
378,data/super_images/378_3x3.jpg,0,1
384,data/super_images/384_3x3.jpg,0,0
387,data/super_images/387_3x3.jpg,0,2
3362,data/super_images/3362_3x3.jpg,0,0
3372,data/super_images/3372_3x3.jpg,0,4
3378,data/super_images/3378_3x3.jpg,0,0
338,data/super_images/338_3x3.jpg,0,2
3381,data/super_images/3381_3x3.jpg,0,1
3385,data/super_images/3385_3x3.jpg,0,3
3386,data/super_images/3386_3x3.jpg,0,2
3387,data/super_images/3387_3x3.jpg,0,2
3388,data/super_images/3388_3x3.jpg,0,0
339,data/super_images/339_3x3.jpg,0,2
3390,data/super_images/3390_3x3.jpg,0,0
3399,data/super_images/3399_3x3.jpg,0,0
